Process ID	Wait Time	Turnaround Time
228	225415976085718	227000000000000
229	225908160733820	229400000000000
230	227865110333026	234200000000000
231	228748193421233	237200000000000
232	229511837793512	239400000000000
233	229333830052177	232900000000000
234	231185703093110	240000000000000
235	229885344159766	231800000000000
236	232734916653676	237200000000000
237	233714589311456	237400000000000
238	236016439749740	244900000000000
239	238171283700978	242800000000000
240	238227377205939	243100000000000
241	237898533555600	239800000000000
242	240367404146843	245000000000000
243	241408730741858	249300000000000
244	0	8455680651663
245	243535269820207	247200000000000
246	0	9088679183855
247	0	5279623076303
248	0	9515258921990
249	247771772216848	249900000000000
250	0	9997874554139
