Process ID	Wait Time (cycles)	Turnaround Time (cycles)
1	26624504092678	31295349730251
2	33850724900143	39027699508513
3	200466580991	411699336600
4	57552140706521	60722067057968
5	2839449971098	4457722580373
6	1694685697776	3065259490626
7	123243587196951	128002204407807
8	20059444756998	22036448477924
9	66463980882250	69915244298906
10	126056410501434	130834854547913
11	21310649725454	23372863189520
12	63082808982922	66463980882250
13	5400196435966	6498188784826
14	3065259490626	4865961597235
15	102242777534475	106492423976025
16	59817491297341	63082808982922
17	4671880434460	5738974695084
18	15865737471736	19571430031361
19	6498188784826	7746685980904
20	506784618870	833470736376
21	129298852413678	134137127214022
22	0	41732093562
23	19571430031361	23625853889383
24	1450992155452	2630810656183
25	116729758938613	121367597911896
26	30182777057347	32553527758994
27	83239313734512	87127637629921
28	10607984846750	12157533881269
29	88759523408878	92761951262056
30	186855504303	803180466709
31	124526530620227	129298852413678
32	1130558395449	1602032762251
33	72075750915048	75728602234235
34	118584894576061	123243587196951
35	131503144647257	141237827047006
36	18102941088357	20059444756998
37	95119631930404	99288210149184
38	4355156929368	5400196435966
39	704501466153	1130558395449
40	58891781932790	65397998303656
41	34330443663935	36857149712792
42	15061981611858	16898852878558
43	65107631456347	68535135681412
44	62314304767979	69095596950700
45	4865961597235	7140491377314
46	38455912504678	41100465234325
47	24971485475876	27214227944406
48	11047230401284	12641149714335
49	119848376114926	124526530620227
50	11547970198350	14761976362774
51	41317561738652	46857272234600
52	124632417848857	134237613587835
53	68535135681412	72075750915048
54	39440961509915	42125745492880
55	87459048193367	95461842796825
56	36857149712792	39440961509915
57	23372863189520	25533941653950
58	105293999776014	109594755402276
59	134237613587835	144167372038517
60	103516050475015	107783598320231
61	112779927904312	121987885725267
62	31000731658001	33400368452793
63	13267014365563	15061981611858
64	6177965761793	8638043298973
65	18796214283023	20766450262950
66	17432314618563	19334825013815
67	54452826207541	57552140706521
68	1582149779457	2839449971098
69	43795513061659	46554473726314
70	28653217062676	31000731658001
71	959311070221	1421582931582
72	26337971355093	28653217062676
73	128227266588	271001505411
74	10193958011159	11660862236977
75	0	16494907446
76	20766450262950	22813881626822
77	32691693097805	37771736953902
78	72372859448489	79721950256386
79	1954644564098	2671192555946
80	29530525870984	31894132266905
81	28003920030957	32691693097805
82	0	174192533897
83	50588707428815	53560440079541
84	6901427944091	8169617497209
85	107783598320231	112185419346686
86	9324767074736	12382509263340
87	91663157482561	99863559142195
88	129529605237	614341183871
89	1602032762251	2145259220572
90	52386295909180	55464377345556
91	20424706631066	24510455848874
92	77204912803081	80957453814989
93	130834854547913	135674583616345
94	74561370334041	81962127295863
95	9913200658955	13039806632952
96	61757124339376	65107631456347
97	70929634992698	74570379281768
98	0	129529605237
99	67400392613395	70929634992698
100	56069218237359	62314304767979
101	16898852878558	18796214283023
