Process ID	Wait Time (cycles)	Turnaround Time (cycles)
1	27815474632598	30150897451384
2	36062791608025	41239766216395
3	181304751679	392537507288
4	57598332000988	60768258352435
5	2906064941838	3715201246475
6	1707433630621	3078007423471
7	123529965379173	128288582590029
8	19907473736952	23861481178805
9	65405220247102	68856483663758
10	124849246171297	129627690217776
11	21277824554591	23340038018657
12	62153063729917	68915407528574
13	5117017223101	7313001920821
14	3078007423471	4878709530080
15	101127800760847	105377447202397
16	59819045222595	63084362908176
17	4877129397150	5944223657774
18	16201781177327	19907473736952
19	6444755031591	7693252227669
20	435707761790	762393879296
21	129627690217776	134465965018120
22	0	41732093562
23	20046212893273	22073424822284
24	1598231284589	2188140534954
25	115533252692713	120171091665996
26	29402654735914	31773405437561
27	83578378528091	91355026318909
28	10085711202462	13184809271500
29	88839086807095	92841514660273
30	392537507288	700699988491
31	124134973234333	133679616821235
32	1126756917787	1598231284589
33	71773971961083	79079674599457
34	116867173631090	126184558872871
35	131725805340494	136593146540368
36	18089709224632	20046212893273
37	94574650916148	102911807353708
38	4262450634954	5307490141552
39	700699988491	1126756917787
40	58801604944698	62054713130131
41	33437344797153	35964050846010
42	14871412267357	16708283534057
43	64918963510952	71773971961083
44	63084362908176	66475008999536
45	5307490141552	6444755031591
46	38547862643133	41192415372780
47	24674627282339	29160112219400
48	11038304066451	12632223379502
49	120171091665996	124849246171297
50	11530121327403	14744127491827
51	43170395372831	48710105868779
52	126184558872871	135789754611849
53	68856483663758	72397098897394
54	39382001323219	42066785306184
55	87578868234942	91580265536671
56	35964050846010	38547862643133
57	23340038018657	25501116483087
58	102911807353708	111513318606232
59	134465965018120	139430844243461
60	102314216802125	106581764647341
61	114927015413378	124134973234333
62	31037708002361	33437344797153
63	13184809271500	16774743764090
64	6160116890846	8620194428026
65	18605644938522	20575880918449
66	16774743764090	20579764554595
67	54499017502008	57598332000988
68	1696737495367	2325387591187
69	42881243307269	45640203971924
70	28690193407036	31037708002361
71	948857970720	1873401693443
72	26374947699453	28690193407036
73	0	285548477647
74	9776133459510	12709941911147
75	0	16494907446
