Process ID	Wait Time (cycles)	Turnaround Time (cycles)
215	-136927237430953	70772156277008
216	-139606223152869	67812370689631
217	-136433325010824	76638809758093
218	-141071168056179	67167502796067
219	-123776290414414	89155750230259
220	-142832497203933	68072762569047
221	-139582174724022	78243394986768
222	-144383711437389	68597854158275
223	-145187629310369	69267334139319
224	-143227843722992	73861762661321
225	-146402145841725	71294283881106
226	-146732665860681	70016311920753
227	-146983688079247	70062945134399
228	-148166198638304	71417825275978
229	-148937054865601	71808864767489
230	-148191135232511	74976309600976
231	-126492778869514	102959027709253
232	-91367297526884	-81479135320396
233	-151705716118894	73077368855017
234	-114025816754303	114381331699142
235	-151922631144983	74034696775134
236	-152138237338679	76094304334483
237	-152965303224866	75877402119406
238	-117329902090178	115111878034952
239	-157015552400565	76613163898457
240	-153905695665517	78530615731513
241	-156023690399024	75927042823176
242	-156072957176824	78243340749754
243	-147147683273520	89797951355551
244	-136164900318110	106290780333553
245	-159122597880594	77709767209302
246	-124796928335206	115747411256721
247	-160386836101543	81892786974760
248	-116882556448874	130632702473116
249	-162361190241907	78767037541245
250	-105319876417872	-100320939140803
