Process ID	Wait Time (cycles)	Turnaround Time (cycles)
1	41291522461971	45962368099544
2	54252426519101	59429401127471
3	251768703426	674234214645
4	86506854217237	92846706920132
5	4220602000397	5838874609672
6	2587768276275	3958342069125
7	184439423176497	193956657598210
8	29393326510741	33347333952594
9	98216867313877	105119394147189
10	187666770962641	197223659055599
11	31951040445951	36075467374083
12	93904931863796	100667275662453
13	7753530449906	9949515147626
14	4704366138529	6505068245138
15	151822960714219	160322253597320
16	89418466977276	95949102348438
17	7072151275145	9206339796394
18	23827594473298	27533287032923
19	9622831194265	12119825586421
20	741885918346	1395258153358
21	193956657598210	203633207198899
22	0	83464187125
23	30224492731279	34278916589301
24	2318358533847	3498177034578
25	173721314907741	182996992854308
26	44554041750944	49295543154239
27	124742439641444	132519087432262
28	15340455015252	18439553084290
29	132519087432262	140523943138618
30	674234214645	1290559177051
31	186044218420317	195588862007219
32	1644819542671	2587768276275
33	107725760421060	115031463059434
34	175122037934716	184439423176497
35	197223659055599	206958341455348
36	27013497768514	30926505105797
37	141925077633420	150262234070980
38	6505068245138	8595147258335
39	945458004791	1797571863383
40	88467417704834	94973634075700
41	49966138068206	55019550165920
42	22732020147588	26405762680988
43	96965064486648	103820072936779
44	94973634075700	101754926258421
45	8210693064983	10485222845062
46	57944697310053	63233802769348
47	36806037524910	41291522461971
48	16574078506044	19761917132147
49	180036672668364	189392981678966
50	17407615478422	20621621642846
51	64798969093402	70338679589350
52	189392981678966	198998177417944
53	102774672059228	109855902526500
54	59429401127471	64798969093402
55	131450953944747	139453748548205
56	53577397711825	58745021306072
57	35012254323605	39334411252465
58	154775247643732	163376758896256
59	202185349923841	212115108374523
60	153411066980506	161946162670939
61	172327216917174	181535174738129
62	45962368099544	50761641689128
63	20237659980708	23827594473298
64	9206339796394	11666417333574
65	28010568486097	31951040445951
66	25588305720236	29393326510741
67	81330062207020	87528691204980
68	2446922336659	3704222528300
69	64086982188354	69604903517665
70	43222840586432	47917869777083
71	1522378613936	2446922336659
72	39334411252465	43964902667632
73	129529605237	415078082884
74	14473807026785	17407615478422
75	0	32989814893
76	31448517028469	35543379756213
77	50761641689128	55841685545225
78	108827374816162	116176465624059
79	3098538720350	4531634704047
80	43964902667632	48692115459474
81	42212743470644	46900516537492
82	77576169529	251768703426
83	74384176147157	80327641448610
84	9949515147626	12485894253862
85	158755175045782	167558817098693
86	14957013271422	18014755460026
87	138123860409804	146324262069438
88	323356992456	808168571090
89	2182064408118	3268517324760
90	78032733683211	84188896555963
91	30926505105797	35012254323605
92	116176465624059	123681547647875
93	195588862007219	205268320144083
94	112378914989472	119779671951294
95	16113574907411	19240180881408
96	92846706920132	99547721154074
97	106522582298907	113804070877048
98	0	129529605237
99	100667275662453	107725760421060
100	84188896555963	90433983086583
101	24921702884686	28716425693616
102	67549005639027	73189216791774
103	91607406973778	98216867313877
104	808168571090	1644819542671
105	49295543154239	54252426519101
106	61121308621528	66511404276197
107	28716425693616	32668075116895
108	99547721154074	106522582298907
109	24243555184025	28010568486097
110	105119394147189	112378914989472
111	118425271788356	126009198140692
112	415078082884	945458004791
113	3268517324760	4704366138529
114	140523943138618	148792282589885
115	122475421459666	130212810445449
116	18439553084290	21922781292686
117	46900516537492	51724057070629
118	70338679589350	76199598820916
119	55019550165920	60218221641184
120	135383811139072	143456749775685
121	33347333952594	37629107259402
122	83464187125	270319691428
123	21922781292686	25588305720236
124	4531634704047	6247561873655
125	0	77576169529
126	32668075116895	36806037524910
127	123681547647875	131450953944747
128	2032415455318	3098538720350
129	51724057070629	56869954572622
130	145043439893937	153411066980506
131	113804070877048	121241567525266
132	156110500241552	164732546210499
133	27533287032923	31448517028469
134	176724798539373	186044218420317
135	11334608318745	14107317600386
136	90433983086583	96965064486648
137	181535174738129	190912799917205
138	87528691204980	93904931863796
139	157247963241548	166033358750861
140	3498177034578	4971077636663
141	69604903517665	75358837834991
142	130212810445449	138123860409804
143	103820072936779	111039085536064
144	1290559177051	2182064408118
145	167558817098693	176724798539373
146	10920053756350	13658870467561
147	72138827353844	78032733683211
148	163376758896256	172327216917174
149	8595147258335	10920053756350
150	83177130898523	89418466977276
151	178342848562807	187666770962641
152	190912799917205	200530845100488
153	7443832427807	9622831194265
154	109855902526500	117216226935567
155	0	110840799935
156	13658870467561	16574078506044
157	133873279430038	141925077633420
158	73189216791774	79098926840180
159	58745021306072	64086982188354
160	60218221641184	65603170445369
161	10485222845062	13203648008034
162	75358837834991	81330062207020
163	52790492571144	57944697310053
164	1797571863383	2788681771874
165	34278916589301	38594124287410
166	48692115459474	53577397711825
167	79098926840180	85272517306804
168	40540550720407	45209505228179
169	169136550504210	178342848562807
170	18014755460026	21256972704893
171	270319691428	741885918346
172	11666417333574	14473807026785
173	117216226935567	124742439641444
174	8909824965776	11334608318745
175	1154838131665	2032415455318
176	200530845100488	210444539309952
177	128978665462247	136870533483679
178	45209505228179	49966138068206
179	2788681771874	4220602000397
180	93266427292	292575154794
181	111039085536064	118425271788356
182	56869954572622	62156146193364
183	139453748548205	147658693662785
184	12485894253862	15340455015252
185	76199598820916	82258164376009
186	20621621642846	24243555184025
187	769916859286	1522378613936
188	119779671951294	127492541880930
189	17025355723536	20237659980708
190	115031463059434	122475421459666
191	71212142856144	77104996129606
192	82258164376009	88467417704834
193	37629107259402	42212743470644
194	136870533483679	145043439893937
